ticker,date,exchange_platform,trade_volume,trade_price
vrausdt,2024-09-21T01:05:21.995+10:00,okex,100.0,0.003923
pyusdusdt,2024-09-21T01:05:22.056+10:00,huobi,61.6109,0.9967
solusdc,2024-09-21T01:05:05.000+10:00,meteora,3.234632353,148.61617690621054
solusdc,2024-09-21T01:05:05.000+10:00,raydium,3.234632353,148.61617690621054
zbcnusdt,2024-09-21T01:05:22.045+10:00,kucoin,6980.0,0.001511
tngospageurusdc,2024-09-21T01:05:21.000+10:00,uniswapv3arbitrum,1.0E-13,1.1133449746335529
swapusdt,2024-09-21T01:05:22.069+10:00,huobi,691.9422999999999,0.11230000000000001
gtcusdt,2024-09-21T01:05:22.067+10:00,binance,9.2,0.673
mmmusdt,2024-09-21T01:05:22.076+10:00,mexc,1500197.01,4.21E-6
enjusdt,2024-09-21T01:05:21.942+10:00,bibox,650.6308,0.15512866221519178
latusdt,2024-09-21T01:05:22.096+10:00,huobi,1437.9,0.008775
qtumusdt,2024-09-21T01:05:22.091+10:00,mexc,0.52,2.467
nearusdt,2024-09-21T01:05:22.110+10:00,huobi,131.13,4.460797185998627
ldousdt,2024-09-21T01:05:22.087+10:00,bybit,2459.9599999999996,1.0891405750500014
requsdt,2024-09-21T01:05:22.106+10:00,binance,112.0,0.10839999999999998
iceusdt,2024-09-21T01:05:22.120+10:00,huobi,19304.9271,0.00416
ldousdt,2024-09-21T01:05:22.087+10:00,bybit,2459.9599999999996,1.0891405750500014
bnbusdc,2024-09-21T01:05:22.108+10:00,binance,0.128,574.96796875
riousdt,2024-09-21T01:05:22.121+10:00,huobi,48.6827,1.0369
forusdt,2024-09-21T01:05:22.006+10:00,bibox,256.4942,0.003775
bonkusdt,2024-09-21T01:05:22.124+10:00,mexc,68201.0,1.847E-5
htxusdt,2024-09-21T01:05:22.127+10:00,poloniex,5.1903413849999994E8,1.2668329843920277E-6
flrusdt,2024-09-21T01:05:22.104+10:00,okex,100.0,0.01533
blzbtc,2024-09-21T01:05:22.149+10:00,binance,6167.0,2.429263823577104E-6
blzusdt,2024-09-21T01:05:22.152+10:00,binance,805.0,0.15519465838509314
omniusdt,2024-09-21T01:05:22.164+10:00,huobi,46.197,9.218316911487758
agldusdt,2024-09-21T01:05:22.013+10:00,bibox,0.0565,0.9025
riousdt,2024-09-21T01:05:22.156+10:00,kucoin,16.26,1.006
adausdt,2024-09-21T01:05:22.171+10:00,huobi,1524.6444999999999,0.36068026268635084
aitechusdt,2024-09-21T01:05:22.183+10:00,huobi,1432.4779,0.08089
nexgusdt,2024-09-21T01:05:22.193+10:00,kucoin,7114.4,0.004697633250871473
nexgusdt,2024-09-21T01:05:22.193+10:00,kucoin,187.3,0.00467
mantausdt,2024-09-21T01:05:22.189+10:00,binance,2138.5,0.7910154313771336
nexgusdt,2024-09-21T01:05:22.193+10:00,kucoin,70.7,0.00466
combotry,2024-09-21T01:05:22.188+10:00,binance,32.199999999999996,15.19919254658385
juvusdt,2024-09-21T01:05:22.197+10:00,binance,16.76,1.654
nexgusdt,2024-09-21T01:05:22.193+10:00,kucoin,3417.7,0.004652476811891039
blzusdt,2024-09-21T01:05:22.211+10:00,huobi,86.43,0.1561
mkrusdt,2024-09-21T01:05:22.198+10:00,poloniex,0.31315899999999997,1558.8518029818717
usdbcusd,2024-09-21T01:05:22.287+10:00,tiingo,1.0E-7,1.0000053856998528
rlyusdt,2024-09-21T01:05:22.221+10:00,huobi,2132.75,0.005923
alphausdt,2024-09-21T01:05:22.215+10:00,binance,2072.0,0.0627
oasusdt,2024-09-21T01:05:22.225+10:00,huobi,314.03,0.040337
mewusdt,2024-09-21T01:05:22.179+10:00,okex,3333.0,0.005552300030003
usdjusdt,2024-09-21T01:05:22.232+10:00,huobi,8.8961,1.1241
mapousdt,2024-09-21T01:05:22.235+10:00,huobi,17443.1227,0.01029522466762789
nexgusdt,2024-09-21T01:05:22.229+10:00,kucoin,3366.7,0.004627350224255206
eoscusdt,2024-09-21T01:05:22.238+10:00,mexc,40716.61,2.456E-4
jlpusdt,2024-09-21T01:05:05.000+10:00,meteora,0.374779,3.256407109256389
pbuxusdt,2024-09-21T01:05:22.260+10:00,huobi,7178.76,0.02298778035482451
nexgusdt,2024-09-21T01:05:22.259+10:00,kucoin,1587.7,0.0046097046041443605
nexgusdt,2024-09-21T01:05:22.259+10:00,kucoin,435.3,0.004598375832759016
nexgusdt,2024-09-21T01:05:22.259+10:00,kucoin,5058.6,0.004580963705373029
pendleusdt,2024-09-21T01:05:22.270+10:00,binance,1124.5,3.5859336594041795
nexgusdt,2024-09-21T01:05:22.276+10:00,kucoin,5428.9,0.004574474018677817
diausdt,2024-09-21T01:05:22.289+10:00,huobi,135.7247,0.3658
vrausdt,2024-09-21T01:05:22.300+10:00,huobi,23420.7765,0.003908857198808075
nexgusdt,2024-09-21T01:05:22.298+10:00,kucoin,16072.8,0.004569041361803794
nexgusdt,2024-09-21T01:05:22.298+10:00,kucoin,1304.2,0.00454
ceekusdt,2024-09-21T01:05:22.310+10:00,huobi,418.2068,0.0318
scausdt,2024-09-21T01:05:22.319+10:00,huobi,320.26,0.3457221445075876
scausdt,2024-09-21T01:05:22.324+10:00,huobi,63.52,0.3453
nexgusdt,2024-09-21T01:05:22.325+10:00,kucoin,39887.59999999999,0.0045399645503865875
enausdt,2024-09-21T01:05:22.325+10:00,binance,99.41000000000001,0.2557009355195654
grtusdt,2024-09-21T01:05:22.331+10:00,binance,9806.0,0.16099847032429124
flameusdt,2024-09-21T01:05:22.341+10:00,mexc,5017.6,6.32E-4
nexgusdt,2024-09-21T01:05:22.345+10:00,kucoin,21797.3,0.004515412275832328
nexgusdt,2024-09-21T01:05:22.358+10:00,kucoin,21475.5,0.004509541617191684
nexgusdt,2024-09-21T01:05:22.358+10:00,kucoin,5000.0,0.00449
orderusdt,2024-09-21T01:05:22.382+10:00,huobi,355.8763,0.2025
nexgusdt,2024-09-21T01:05:22.374+10:00,kucoin,12232.0,0.004488175277959452
nexgusdt,2024-09-21T01:05:22.374+10:00,kucoin,3956.4,0.0044764118895966026
enjusdt,2024-09-21T01:05:22.248+10:00,bibox,215.6218,0.1552
manausdt,2024-09-21T01:05:22.381+10:00,mexc,4.2,0.3005
nexgusdt,2024-09-21T01:05:22.394+10:00,kucoin,11491.5,0.004468742896923813
dodousdt,2024-09-21T01:05:22.393+10:00,binance,11250.7,0.12896994053703326
