ticker,date,exchange_platform,trade_volume,trade_price
pepeusdt,2024-09-21T01:05:35.501+10:00,mexc,6.00605084E8,8.29280710153629E-6
xecusdt,2024-09-21T01:05:35.514+10:00,huobi,2139266.05,3.3490000000000006E-5
reiusdt,2024-09-21T01:05:35.514+10:00,huobi,706.9084,0.053582101498298784
okbusdt,2024-09-21T01:05:35.466+10:00,okex,219.88749,40.63021317674779
pepe2usdt,2024-09-21T01:05:35.521+10:00,mexc,2.890830109E9,3.080594321769533E-8
fireusdt,2024-09-21T01:05:35.515+10:00,kucoin,3.4897,1.56177
ethkrw,2024-09-21T01:05:35.159+10:00,bithumb,0.0794,3391000.0000000005
ftmusdc,2024-09-21T01:05:35.530+10:00,binance,148.0,0.6517
btcusdc,2024-09-21T01:05:35.534+10:00,binance,0.044789999999999996,63902.25525787007
sunusdt,2024-09-21T01:05:35.528+10:00,poloniex,15115.779999999997,0.02576406245023414
enausdt,2024-09-21T01:05:35.545+10:00,huobi,971.6154,0.2554683654674473
ftmbtc,2024-09-21T01:05:35.532+10:00,binance,1055.0,1.0200293838862561E-5
ftmusdc,2024-09-21T01:05:35.533+10:00,binance,203.0,0.651615763546798
dcrusdt,2024-09-21T01:05:35.557+10:00,mexc,0.11,12.562000000000001
auctionusdt,2024-09-21T01:05:35.557+10:00,huobi,11.0181,15.759384795019104
latusdt,2024-09-21T01:05:35.570+10:00,huobi,2878.92,0.008802535016603448
bananausdt,2024-09-21T01:05:35.580+10:00,huobi,1.5962,40.0654
zrousdt,2024-09-21T01:05:35.583+10:00,huobi,40.925399999999996,4.379028673879791
mlkusdt,2024-09-21T01:05:35.590+10:00,huobi,177.2268,0.22570000000000004
tngospwstetheth,2024-09-21T01:05:34.000+10:00,balancerarbitrum,1.0E-13,1.177168592371899
melosusdt,2024-09-21T01:05:35.592+10:00,mexc,5022.78,0.0024111
xmrusdt,2024-09-21T01:05:35.593+10:00,huobi,0.4526,177.09
trxusdt,2024-09-21T01:05:35.563+10:00,bybit,3366.9100000000003,0.15251999999999996
stmxusdt,2024-09-21T01:05:35.575+10:00,binance,3575.0,0.006497
trxusdt,2024-09-21T01:05:35.563+10:00,bybit,3366.9100000000003,0.15251999999999996
maxusdt,2024-09-21T01:05:35.584+10:00,kucoin,45.4,0.33479
forusdt,2024-09-21T01:05:35.514+10:00,bibox,211.0911,0.003775
fraxusd,2024-09-21T01:05:35.684+10:00,tiingo,1.0E-7,0.9970816468515985
ordiusdt,2024-09-21T01:05:35.612+10:00,huobi,10.775400000000001,35.152462415316364
bbusdt,2024-09-21T01:05:35.619+10:00,huobi,2197.6537000000003,0.3652792705511337
tngospcrvusdusdc,2024-09-21T01:05:34.000+10:00,curvefiarbitrum,1.0E-13,0.9956311568473004
reneth,2024-09-21T01:05:35.631+10:00,mexc,13.42,1.658E-5
xrpusdt,2024-09-21T01:05:35.640+10:00,huobi,1244.49,0.5899182181455858
ceekusdt,2024-09-21T01:05:35.663+10:00,huobi,413.6498,0.0318
ontusdt,2024-09-21T01:05:35.613+10:00,okex,75.0,0.1866
blzusdt,2024-09-21T01:05:35.657+10:00,binance,398.0,0.15468266331658292
ssvusdt,2024-09-21T01:05:35.669+10:00,huobi,3.799,23.6901
agldusdt,2024-09-21T01:05:35.534+10:00,bibox,0.47650000000000003,0.901458572927597
linkusd,2024-09-21T01:05:35.759+10:00,gdax,349.37,11.619474053295932
scusdt,2024-09-21T01:05:35.705+10:00,huobi,8795.08,0.004548
reefusdt,2024-09-21T01:05:35.708+10:00,huobi,135846.4202,0.004148355132062582
cotitry,2024-09-21T01:05:35.701+10:00,binance,1951.0,4.191526909277294
omtry,2024-09-21T01:05:35.714+10:00,binance,74.0,40.69
btcusdt,2024-09-21T01:05:35.726+10:00,mexc,0.2855459999999999,63892.82875655763
runeusdt,2024-09-21T01:05:35.721+10:00,mexc,0.28,4.54
omgusdt,2024-09-21T01:05:35.733+10:00,huobi,121.3596,0.3296
manausdt,2024-09-21T01:05:35.723+10:00,poloniex,416.46129999999994,0.3002412474580472
sfundusdt,2024-09-21T01:05:35.744+10:00,huobi,542.0463,1.1703531256831752
yfiusdt,2024-09-21T01:05:35.745+10:00,huobi,0.022524,5144.73
auctionusdt,2024-09-21T01:05:35.757+10:00,mexc,0.09,15.73
oasusdt,2024-09-21T01:05:35.766+10:00,huobi,313.57,0.04048
catusdt,2024-09-21T01:05:35.772+10:00,mexc,302805.0,3.978E-5
ethfiusdt,2024-09-21T01:05:35.780+10:00,huobi,759.6194999999999,1.563479126246759
rlyusdt,2024-09-21T01:05:35.781+10:00,huobi,2111.69,0.006003
sysusdt,2024-09-21T01:05:35.774+10:00,binance,26619.0,0.1134524512566212
mntusdt,2024-09-21T01:05:35.772+10:00,bybit,10398.03,0.6128913222985507
mntusdt,2024-09-21T01:05:35.772+10:00,bybit,10398.03,0.6128913222985507
lqtyusdt,2024-09-21T01:05:35.813+10:00,huobi,181.63649999999998,1.0107223099982658
aaveusdt,2024-09-21T01:05:35.823+10:00,huobi,1.0206,152.73579994121107
utkusdt,2024-09-21T01:05:35.824+10:00,binance,350.0,0.04777
hntusdt,2024-09-21T01:05:35.740+10:00,bibox,2.535,7.07
ssvusdt,2024-09-21T01:05:35.789+10:00,okex,9.7098,23.459359925024206
wiccusdt,2024-09-21T01:05:35.847+10:00,huobi,3866.6898,0.003837
fettry,2024-09-21T01:05:35.845+10:00,binance,669.6,54.117836021505376
dprusdt,2024-09-21T01:05:35.856+10:00,mexc,867.18,0.001451
mntusdt,2024-09-21T01:05:35.863+10:00,huobi,129.832,0.6134
tiausdt,2024-09-21T01:05:35.882+10:00,mexc,0.21,6.187
xdcusdt,2024-09-21T01:05:35.884+10:00,huobi,3721.1224,0.028277725087274743
mlnusdt,2024-09-21T01:05:35.883+10:00,binance,17.730999999999998,16.09841520500818
mlnusdt,2024-09-21T01:05:35.883+10:00,binance,0.138,16.1
pepeusdt,2024-09-21T01:05:35.848+10:00,okex,1.253324338E9,8.291575445534833E-6
wanbtc,2024-09-21T01:05:35.901+10:00,huobi,469.0,2.8000000000000003E-6
blzbtc,2024-09-21T01:05:35.908+10:00,binance,2911.0,2.42E-6
phausdt,2024-09-21T01:05:35.916+10:00,binance,44.0,0.11270000000000001
polcusdt,2024-09-21T01:05:35.929+10:00,huobi,1855.4767,0.007024
winusdt,2024-09-21T01:05:35.916+10:00,poloniex,1.1075198299999999E7,9.124443310292694E-5
waxpusdt,2024-09-21T01:05:35.886+10:00,okex,3135.671197,0.03381956451023267
tngospageurusdc,2024-09-21T01:05:35.000+10:00,uniswapv3polygon,1.0E-13,1.1133262427283162
spausdt,2024-09-21T01:05:35.953+10:00,huobi,1894.37,0.006739
trxusdt,2024-09-21T01:05:35.937+10:00,poloniex,3410.7290000000003,0.15245197323504733
clvusdt,2024-09-21T01:05:35.941+10:00,binance,390.6,0.04407
eduusdt,2024-09-21T01:05:35.944+10:00,binance,16836.0,0.6449240258968876
diausdt,2024-09-21T01:05:35.959+10:00,huobi,472.9638,0.3666063192574146
arkusdt,2024-09-21T01:05:35.948+10:00,binance,1488.0,0.37198971774193546
arkusdt,2024-09-21T01:05:35.948+10:00,binance,1221.0,0.3714873873873874
peopleusdt,2024-09-21T01:05:35.912+10:00,okex,1847.1289199999999,0.06539059810797614
ismeusdt,2024-09-21T01:05:35.953+10:00,kucoin,319.0,0.00214
nearusdc,2024-09-21T01:05:35.963+10:00,mexc,2.34,4.461
luncusdt,2024-09-21T01:05:35.930+10:00,okex,786539.0,8.837090515537057E-5
wldusdt,2024-09-21T01:05:35.966+10:00,poloniex,125.04212,1.6415976485363493
mapousdt,2024-09-21T01:05:35.990+10:00,huobi,15368.5643,0.010303037630795481
pngusd,2024-09-21T01:05:36.064+10:00,tiingo,1.0E-7,0.27339072713156604
aevousdt,2024-09-21T01:05:35.979+10:00,binance,28670.35,0.39300199997558455
ordiusdt,2024-09-21T01:05:35.978+10:00,binance,2.11,35.14791469194313
blzusdt,2024-09-21T01:05:35.993+10:00,huobi,434.91,0.15487995907199192
bananausdt,2024-09-21T01:05:35.996+10:00,binance,22.965000000000003,40.0399033311561
dexeusdt,2024-09-21T01:05:36.000+10:00,binance,3.4,8.699082352941176
auctionusdt,2024-09-21T01:05:36.002+10:00,binance,6.79,15.749351988217967
forusdt,2024-09-21T01:05:36.013+10:00,huobi,3402.64,0.003737
nearusdt,2024-09-21T01:05:36.007+10:00,poloniex,62.07089,4.4449936559633665
ankrusdt,2024-09-21T01:05:36.026+10:00,mexc,44.4523,0.02835
manekiusdt,2024-09-21T01:05:36.048+10:00,huobi,57917.6213,0.006565766161106137
availusdt,2024-09-21T01:05:36.049+10:00,huobi,227.7629,0.14789999999999998
enausdt,2024-09-21T01:05:36.043+10:00,binance,5993.04,0.256
venomusdt,2024-09-21T01:05:36.006+10:00,okex,20.0,0.1069
egldusdt,2024-09-21T01:05:36.059+10:00,huobi,1.0635,28.2103
magicusdt,2024-09-21T01:05:36.063+10:00,huobi,471.7188,0.3789
dotusdt,2024-09-21T01:05:36.055+10:00,binance,1063.73,4.376000000000001
requsdt,2024-09-21T01:05:36.059+10:00,binance,159.0,0.10860000000000002
ethusd,2024-09-21T01:05:36.146+10:00,gdax,25.53435086,2542.6639678471806
dotusdc,2024-09-21T01:05:36.057+10:00,binance,70.0,4.377
cakeusdt,2024-09-21T01:05:36.076+10:00,mexc,0.67,1.887
bblusdt,2024-09-21T01:05:36.080+10:00,huobi,42213.3586,0.00763
sfpusdt,2024-09-21T01:05:36.069+10:00,binance,2103.0,0.757437612933904
ftmusdt,2024-09-21T01:05:36.000+10:00,bitmart,980.99,0.651401
arbusdt,2024-09-21T01:05:36.096+10:00,huobi,696.7869000000001,0.5838
aergousd,2024-09-21T01:05:33.606+10:00,gdax,24977.5,0.11541926333700331
